priority	id	brand	product	category	status	remaining_gap	ask	who_to_ask	last_finding	source_url	notes
P2	TDS-0005	Halfway Crooks Beer	Brevet IPA	Non-alcoholic beer	Partially resolved	Producer-published ABV; corroborate Chiber/arrested fermentation from brewery (not only press/Untappd).	Published residual ABV (label or lab) for this SKU	Halfway Crooks Beer	ABV verified at 0.5%. Existing record's fermentation-arrest process was not independently corroborated in a producer source.	https://untappd.com/b/halfway-crooks-beer-brevet-ipa/6553046	Same brewery NA process as Brevet Pils — Chiber extract keeps yeast static, arresting fermentation r
P2	TDS-0006	Be Free	Chardonnay	Non-alcoholic wine	Partially resolved	Named no-heat technique (ABV 0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Be Free	ABV verified at 0.5%. Seller describes a patented, no-heat dealcoholization process, but does not name the technique.	https://www.schuttelaarwijnen.nl/be-free-chardonnay-alcohol-vrij	"Dealcoholized (""special method"", not detailed)"
P2	TDS-0011	Freixenet	0,0 Sparkling Rosé	Non-alcoholic sparkling wine	Partially resolved	Named removal technique (ABV <0.05% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Freixenet	ABV verified at <0.05%. The producer page does not name a removal technique.	https://freixenet.com/uk/product/alcohol-free-sparkling-rose	"Branded ""Alcohol Removed""; specific method not detailed"
P2	TDS-0019	Band of Vintners	Freestyle NA California	Non-alcoholic wine	Partially resolved	Named removal technique (ABV <0.5% done; removal confirmed).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Band of Vintners	ABV verified at <0.5%. The brand confirms fermentation followed by alcohol removal, but does not name its removal technique.	https://www.bandofvintners.com/product/detail/BOV-NA-24/	"Brand states wine is ""skin fermented with native yeasts"" and balanced ""once the alcohol is removed"";"
P2	TDS-0022	Be Free	Sauvignon Blanc	Non-alcoholic wine	Partially resolved	Product-specific ABV + named technique.	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Be Free	No product-specific ABV source located. It is in the Be Free dealcoholized range, but the exact residual ABV and method remain unverified.		"Dealcoholized (""special method"", not detailed)"
P2	TDS-0023	Familia Torres (Natureo line)	Serena Mode Sauvignon Blanc	Non-alcoholic wine	Partially resolved	Named dealcoholization technique (ABV 0.0% + fermentation→removal done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Familia Torres (Natureo line)	ABV verified at 0.0%. Technical sheet confirms 16-day alcoholic fermentation followed by dealcoholization; the exact technique is not named.	https://www.torres.es/sites/default/files/2025-12/TS%20SERENA%20MODE%20SB%202024%20ING.pdf	"Torres describes an ""improved dealcoholizing technique""; exact process not detailed"
P2	TDS-0024	Rondel	Zero Cava Rosé	Non-alcoholic sparkling wine	Partially resolved	Reliable ABV + removal method.	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Rondel	Public retailer listing identifies the product but does not state a reliable Rosé ABV or removal method.	https://www.totalwine.com/theme/rose-non-sp-45-sp-alcoholic-wine	Unclassified
P2	TDS-0026	Biagio Cru	Non-Alcoholic Rosé All Day	Non-alcoholic wine	Still open	Authoritative residual ABV (label/lab).	Published residual ABV (label or lab) for this SKU	Biagio Cru	No authoritative residual ABV located. The product remains alcohol-removed, but the requested label or lab value is still needed.		Delicate alcohol removal after early-harvest grapes and low-sugar yeasts (Total Wine product highlig
P2	TDS-0056	King Maui	0% Marlborough Sauvignon Blanc	Non-alcoholic wine	Partially resolved	Producer ABV + method (retail “0%” only).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	King Maui	Product is sold as 0% non-alcoholic Marlborough Sauvignon Blanc. Exact residual ABV and method are not documented in a producer source.	https://www.totalwine.com/discover/non-alcoholic	Unclassified
P2	TDS-0057	Jörg Geiger	ViSecco Pinot Meunier	Non-alcoholic sparkling wine	Partially resolved	Removal process for dealcoholized wine component (ABV 0.0% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Jörg Geiger	ABV verified at 0.0%. Ingredient list confirms it includes dealcoholized Sauvignon Blanc, but does not state the exact removal process for the wine component.	https://handel.manufaktur-joerg-geiger.de/Gruppierung-Handel/Neulistung/	Not independently verified for this specific SKU
P2	TDS-0059	Nozeco	Alcohol Free Brut Rosé	Non-alcoholic sparkling wine	Partially resolved	First-party ABV/label confirm for this Rosé SKU.	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Nozeco	A retailer lists 0.0% ABV for the Rosé, but a first-party technical or label source is still needed to confirm the exact product/version.	https://www.vinazowines.com/products/nozeco-alcohol-free-brut-rose	Unclassified
P2	TDS-0065	P.J. Valckenberg	Cuvée Sparkling Zero	Non-alcoholic sparkling wine	Partially resolved	Named removal process (ABV marketed 0.0%).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	P.J. Valckenberg	ABV is marketed as 0.0%. Producer confirms 99% non-alcoholic wine plus CO2, but does not name the removal process.	https://www.valckenberg.com/en/portfolio/wein/1342-cuvee-sparkling-zero-va18/pdf	Unclassified
P2	TDS-0067	Missing Thorn	Non-Alcoholic Still White	Non-alcoholic wine	Partially resolved	Named distillation process (ABV <0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Missing Thorn	ABV verified at <0.5%. Producer describes specialized/innovative distillation but does not name a specific process.	https://missingthorn.com/pages/faqs	Not independently verified; brand markets wines as alcohol-removed by winemaker Aaron Pott
P2	TDS-0072	Freixenet	0,0 Sparkling White	Non-alcoholic sparkling wine	Partially resolved	Named removal technique (ABV <0.05% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Freixenet	ABV verified at <0.05%. The producer does not name a removal technique.	https://freixenet.com/uk/product/alcohol-free-sparkling-white	"Branded ""Alcohol Removed""; specific method not detailed"
P2	TDS-0078	Mount Fishtail	Zero Sauvignon Blanc	Non-alcoholic wine	Partially resolved	Producer ABV + method (retail “0%” only).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Mount Fishtail	Product is marketed as 0%; exact residual ABV and removal technique remain unverified.	https://www.totalwine.com/theme/non-sp-45-sp-alcoholic-sauvignon-blanc	"Branded ""Alcohol Removed""; specific method not detailed"
P2	TDS-0082	Chloe Wine Collection	Alcohol-Removed Pinot Grigio	Non-alcoholic wine	Partially resolved	Named removal technique (ABV <0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Chloe Wine Collection	ABV verified at <0.5%. Product is alcohol-removed; specific removal technique is not disclosed.	https://www.publix.com/pd/chloe-alcohol-removed-pinot-grigio/RIO-PCI-637805	Alcohol-removed (branded); method not detailed
P2	TDS-0083	Chateau Diana	Zero California White Blend	Non-alcoholic wine	Partially resolved	Named removal technique (ABV 0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Chateau Diana	ABV verified at 0.5%. Product is alcohol-removed; specific removal technique is not disclosed.	https://www.walmart.com/ip/9382754147	"Branded ""Alcohol Removed""; specific method not detailed"
P2	TDS-0084	Chateau Diana	Zero California Rosé	Non-alcoholic wine	Partially resolved	Named removal technique (ABV 0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Chateau Diana	ABV verified at 0.5%. Product is alcohol-removed; specific removal technique is not disclosed.	https://business.walmart.com/ip/Chateau-Diana-Zero-Alcohol-Rose-6-Pack/9397402473	"Branded ""Alcohol Removed""; specific method not detailed"
P2	TDS-0086	Ariel (Ariel Vineyards / J. Lohr)	Chardonnay	Non-alcoholic wine	Partially resolved	Named proprietary removal process (ABV <0.5% done).	Published residual ABV (label or lab) for this SKU; specific removal/fermentation technique if dealcoholized/NA beer	Ariel (Ariel Vineyards / J. Lohr)	ABV verified at <0.5%. J. Lohr confirms fermentation and barrel aging before a proprietary alcohol-removal process; technique remains undisclosed.	https://www.jlohr.com/arielvineyards	"Marketed as ""Dealcoholized Wine""; specific method not detailed"
P2	TDS-0104	Ohla	Rosé	Non-alcoholic wine	Still open	Named removal technology.	Name the removal process (vacuum distillation, RO, spinning cone, etc.)	Ohla	Ohla is consistently described as alcohol-removed, but no reliable source names a removal technology.		Fermented then alcohol removed (technique not named)
P2	TDS-0114	Cypher	Blanc	Non-alcoholic wine	Still open	Named removal technology.	Name the removal process (vacuum distillation, RO, spinning cone, etc.)	Cypher	No reliable producer or technical source found that names Cypher Blanc's alcohol-removal technology.		Alcohol removed wine (label); exact tech unpublished on producer page
P3	TDS-0035	Best Day Brewing	Kölsch	Non-alcoholic beer	Partially resolved	Exact proprietary low-temp removal tech name (not vacuum).	Name the removal process (vacuum distillation, RO, spinning cone, etc.)	Best Day Brewing	Best Day confirms full-strength brewing followed by proprietary low-temperature alcohol removal; independent reporting says it is not vacuum distillation. Exact technology remains undisclosed.	https://bestdaybrewing.com/	Traditionally brewed, then alcohol gently removed post-fermentation (Paste Magazine brewery-briefed 
P3	TDS-0109	SITE	Riesling Dealcoholized	Non-alcoholic wine	Partially resolved	Confirm whether low-temp evaporation is vacuum.	Name the removal process (vacuum distillation, RO, spinning cone, etc.)	SITE	Low-temperature evaporation is documented, but whether it is vacuum evaporation/distillation has not been confirmed.		Low-temperature evaporation (likely vacuum; equipment not named)
